schema	atelier-codev-readout-v1
surface.16.semi_diameter_mm	2.52157
surface.16.glass	544006.557596
surface.16.nd	1.54401
surface.16.vd	55.7596
surface.16.surface_type	ASP
surface.16.is_stop	0
surface.16.asphere.K	-2.7322
surface.16.asphere.A	-0.379804
surface.16.asphere.B	0.190923
surface.16.asphere.C	-0.0583854
surface.16.asphere.D	0.0135343
surface.16.asphere.E	-0.00227232
surface.16.asphere.F	0.000230953
surface.16.asphere.G	-0.00001
surface.16.asphere.H	0
surface.16.asphere.J	0
surface.17.radius_y_mm	1.23268
surface.17.thickness_mm	0.477058
surface.17.semi_diameter_mm	2.64137
surface.17.glass	
surface.17.nd	1
surface.17.vd	0
surface.17.surface_type	ASP
surface.17.is_stop	0
surface.17.asphere.K	-1.7788
surface.17.asphere.A	-0.284192
surface.17.asphere.B	0.167076
surface.17.asphere.C	-0.0752388
surface.17.asphere.D	0.0227372
surface.17.asphere.E	-0.00417911
surface.17.asphere.F	0.000415025
surface.17.asphere.G	-0.000017
surface.17.asphere.H	0
surface.17.asphere.J	0
surface.18.radius_y_mm	1.000000e+18
surface.18.thickness_mm	0.21
surface.18.semi_diameter_mm	5.86253
surface.18.glass	516999.572526
surface.18.nd	1.517
surface.18.vd	57.2526
surface.18.surface_type	SPH
surface.18.is_stop	0
surface.18.asphere.K	0
surface.18.asphere.A	0
surface.18.asphere.B	0
surface.18.asphere.C	0
surface.18.asphere.D	0
surface.18.asphere.E	0
surface.18.asphere.F	0
surface.18.asphere.G	0
surface.18.asphere.H	0
surface.18.asphere.J	0
surface.19.radius_y_mm	1.000000e+18
surface.19.thickness_mm	0.220058
surface.19.semi_diameter_mm	6.01963
surface.19.glass	
surface.19.nd	1
surface.19.vd	0
surface.19.surface_type	SPH
surface.19.is_stop	0
surface.19.asphere.K	0
surface.19.asphere.A	0
surface.19.asphere.B	0
surface.19.asphere.C	0
surface.19.asphere.D	0
surface.19.asphere.E	0
surface.19.asphere.F	0
surface.19.asphere.G	0
surface.19.asphere.H	0
surface.19.asphere.J	0
surface.20.radius_y_mm	1.000000e+18
surface.20.thickness_mm	0
surface.20.semi_diameter_mm	6.49865
surface.20.glass	
surface.20.nd	1
surface.20.vd	0
surface.20.surface_type	SPH
surface.20.is_stop	0
surface.20.asphere.K	0
surface.20.asphere.A	0
surface.20.asphere.B	0
surface.20.asphere.C	0
surface.20.asphere.D	0
surface.20.asphere.E	0
surface.20.asphere.F	0
surface.20.asphere.G	0
surface.20.asphere.H	0
surface.20.asphere.J	0
wavelength.1.wavelength_nm	656.273
wavelength.1.weight	1
wavelength.2.wavelength_nm	587.562
wavelength.2.weight	1
wavelength.3.wavelength_nm	486.133
wavelength.3.weight	1
field.1.definition_type	ANG
field.1.x	0
field.1.y	0
field.1.vuy	0
field.1.vly	0
field.1.vux	0
field.1.vlx	0
field.2.definition_type	ANG
field.2.x	0
field.2.y	35.2
field.2.vuy	0
field.2.vly	0
field.2.vux	0
field.2.vlx	0
field.3.definition_type	ANG
field.3.x	0
field.3.y	24.8864
field.3.vuy	0
field.3.vly	0
field.3.vux	0
field.3.vlx	0
