schema	atelier-codev-readout-v1
surface.16.radius_y_mm	1.36416
surface.16.thickness_mm	0.587
surface.16.semi_diameter_mm	1.93405
surface.16.glass	547086.524096
surface.16.nd	1.54709
surface.16.vd	52.4096
surface.16.surface_type	ASP
surface.16.is_stop	0
surface.16.asphere.K	-2.7322
surface.16.asphere.A	-0.379921
surface.16.asphere.B	0.190919
surface.16.asphere.C	-0.0583841
surface.16.asphere.D	0.0135348
surface.16.asphere.E	-0.00227222
surface.16.asphere.F	0.000230909
surface.16.asphere.G	-0.00001
surface.16.asphere.H	0
surface.16.asphere.J	0
surface.17.radius_y_mm	1.25097
surface.17.thickness_mm	0.487087
surface.17.semi_diameter_mm	2.23492
surface.17.glass	
surface.17.nd	1
surface.17.vd	0
surface.17.surface_type	ASP
surface.17.is_stop	0
surface.17.asphere.K	-1.7788
surface.17.asphere.A	-0.284266
surface.17.asphere.B	0.167063
surface.17.asphere.C	-0.0752442
surface.17.asphere.D	0.022736
surface.17.asphere.E	-0.00417932
surface.17.asphere.F	0.000415055
surface.17.asphere.G	-0.000017
surface.17.asphere.H	0
surface.17.asphere.J	0
surface.18.radius_y_mm	1.000000e+18
surface.18.thickness_mm	0.21
surface.18.semi_diameter_mm	2.58361
surface.18.glass	581383.317472
surface.18.nd	1.58138
surface.18.vd	31.7472
surface.18.surface_type	SPH
surface.18.is_stop	0
surface.18.asphere.K	0
surface.18.asphere.A	0
surface.18.asphere.B	0
surface.18.asphere.C	0
surface.18.asphere.D	0
surface.18.asphere.E	0
surface.18.asphere.F	0
surface.18.asphere.G	0
surface.18.asphere.H	0
surface.18.asphere.J	0
surface.19.radius_y_mm	1.000000e+18
surface.19.thickness_mm	0.230087
surface.19.semi_diameter_mm	2.64442
surface.19.glass	
surface.19.nd	1
surface.19.vd	0
surface.19.surface_type	SPH
surface.19.is_stop	0
surface.19.asphere.K	0
surface.19.asphere.A	0
surface.19.asphere.B	0
surface.19.asphere.C	0
surface.19.asphere.D	0
surface.19.asphere.E	0
surface.19.asphere.F	0
surface.19.asphere.G	0
surface.19.asphere.H	0
surface.19.asphere.J	0
surface.20.radius_y_mm	1.000000e+18
surface.20.thickness_mm	0
surface.20.semi_diameter_mm	2.78857
surface.20.glass	
surface.20.nd	1
surface.20.vd	0
surface.20.surface_type	SPH
surface.20.is_stop	0
surface.20.asphere.K	0
surface.20.asphere.A	0
surface.20.asphere.B	0
surface.20.asphere.C	0
surface.20.asphere.D	0
surface.20.asphere.E	0
surface.20.asphere.F	0
surface.20.asphere.G	0
surface.20.asphere.H	0
surface.20.asphere.J	0
wavelength.1.wavelength_nm	656.273
wavelength.1.weight	1
wavelength.2.wavelength_nm	587.562
wavelength.2.weight	1
wavelength.3.wavelength_nm	486.133
wavelength.3.weight	1
field.1.definition_type	ANG
field.1.x	0
field.1.y	0
field.1.vuy	0
field.1.vly	0
field.1.vux	0
field.1.vlx	0
field.2.definition_type	ANG
field.2.x	0
field.2.y	35.2
field.2.vuy	0.2
field.2.vly	0.2
field.2.vux	0.2
field.2.vlx	0.2
field.3.definition_type	ANG
field.3.x	0
field.3.y	24.8864
field.3.vuy	0.2
field.3.vly	0.2
field.3.vux	0.2
field.3.vlx	0.2
